Overview,Series_Title,Released_Year
"La historia de la batalla de Iwo Jima entre los Estados Unidos y el Japón Imperial durante la Segunda Guerra Mundial, como se contó desde la perspectiva de los japoneses que lo lucharon.",Letters from Iwo Jima,2006
"En un hospital en las afueras de Los Ángeles de la década de 1920, un especialista lesionado comienza a contarle a un compañero paciente, una niña con un brazo roto, una fantástica historia de cinco héroes míticos.Gracias a su estado mental fracturado y su vívida imaginación, la línea entre la ficción y la realidad se desdibuja a medida que avanza el cuento.",The Fall,2006
"Un hombre joven que sobrevive a un desastre en el mar se precipita en un viaje épico de aventura y descubrimiento.Mientras se ve, forma una conexión inesperada con otro sobreviviente: un temible tigre de Bengala.",Life of Pi,2012
Un zorro urbano no puede resistirse a regresar a sus formas de asalto en la granja y luego debe ayudar a su comunidad a sobrevivir a las represalias de los agricultores.,Fantastic Mr. Fox,2009
"Un joven canadiense francés, que crece en las décadas de 1960 y 1970, lucha por conciliar su homosexualidad emergente con los valores conservadores de su padre y sus propias creencias católicas.",C.R.A.Z.Y.,2005
El nuevo maestro de un internado de niños administrado severamente trabaja para afectar positivamente la vida de los estudiantes a través de la música.,Les choristes,2004
"Después de estar cautivo en una cueva afgana, el ingeniero multimillonario Tony Stark crea un traje de armadura armado único para luchar contra el mal.",Iron Man,2008
La vida sin incidentes de un hombre es interrumpida por el apocalipsis zombie.,Shaun of the Dead,2004
"Con la intención de liberarse de las estrictas restricciones familiares, una joven suicida establece un matrimonio de conveniencia con un adicto de cuarenta años, un acto que conducirá a un estallido de amor envidioso.",Gegen die Wand,2004
La vida de tres hombres que eran amigos de la infancia se destrozan cuando uno de ellos tiene una tragedia familiar.,Mystic River,2003
"Harry Potter, Ron y Hermione regresan a la Escuela de Brujería y Wizardry de Hogwarts para su tercer año de estudio, donde profundizan en el misterio que rodea a un prisionero escapado que representa una amenaza peligrosa para el joven mago.",Harry Potter and the Prisoner of Azkaban,2004
"Un oficial de defensa, sin nombre, fue convocado por el rey de Qin con respecto a su éxito de terminar tres guerreros.",Ying xiong,2002
Dos hombres comparten una extraña amistad mientras cuidan a dos mujeres que están en comas profundas.,Hable con ella,2002
"Bosnia y Herzegovina durante 1993 en el momento de la lucha más pesada entre los dos lados en guerra.Dos soldados de los lados opuestos en el conflicto, Nino y Ciki, quedan atrapados en la tierra de ningún hombre, mientras que un tercer soldado se convierte en una trampa de vida viva.",No Man's Land,2001
"Una explosión terrorista libera un virus mortal en las masas, y es la tripulación de bebop de caza de recompensas para atrapar al culpable de sangre fría.",Cowboy Bebop: Tengoku no tobira,2001
"Un hombre es recogido por un bote de pesca, con balas y sufrimiento de amnesia, antes de competir para eludir a los asesinos e intentar recuperar su memoria.",The Bourne Identity,2002
"Dos estafadores intentan estafar a un coleccionista de sellos vendiéndole una hoja de sellos raros falsificados (las ""nueve reinas"").",Nueve reinas,2000
"En 2027, en un mundo caótico en el que las mujeres se han vuelto de alguna manera infértiles, un ex activista acepta ayudar a transportar a una mujer milagrosamente embarazada a un santuario en el mar.",Children of Men,2006
Un niño de secundaria tiene la oportunidad de escribir una historia para la revista Rolling Stone sobre una banda de rock prometedor mientras los acompaña en su gira de conciertos.,Almost Famous,2000
"Después de un naufragio en el sinuoso Mulholland Drive, hace que una mujer amnésica, ella y una alegre búsqueda de Hollywood de pistas y respuestas en Los Ángeles en una aventura retorcida más allá de los sueños y la realidad.",Mulholland Dr.,2001
"Cuando Woody es robado por un coleccionista de juguetes, Buzz y sus amigos se dirigieron a una misión de rescate para salvar a Woody antes de convertirse en una propiedad de juguete de museo con su pandilla Roundup Jessie, Prospector y Bullseye.",Toy Story 2,1999
"Cuando el sexo era seguro, el placer era un negocio y el negocio estaba en auge, un productor de pornografía idealista aspira a elevar su oficio a un arte cuando descubre un talento joven y caliente.",Boogie Nights,1997
Una historia de amor entre una niña que ama leer libros y un niño que anteriormente revisó todos los libros de la biblioteca que elige.,Mimi wo sumaseba,1995
Una familia descendida de los guerreros maoríes es atacada por un padre violento y los problemas sociales de ser tratado como marginados.,Once Were Warriors,1994
"En Detroit, un geek de cultura pop solitaria se casa con una prostituta, roba cocaína de su proxeneta e intenta venderla en Hollywood.Mientras tanto, los propietarios de la cocaína, la mafia, los rastrean en un intento por reclamarla.",True Romance,1993
Una mujer lucha por encontrar una manera de vivir su vida después de la muerte de su esposo e hijo.,Trois couleurs: Bleu,1993
"Un espadachín vagabundo es ayudado por una hermosa niña ninja y un espía astuto para enfrentar un clan demoníaco de asesinos, con un fantasma de su pasado como su líder, que está empeñado en derrocar al shogunato de Tokugawa.",Jûbê ninpûchô,1993
"Un ex convicto puertorriqueño, recién salido de la prisión, se compromete a mantenerse alejados de las drogas y la violencia a pesar de la presión a su alrededor y conducir a una vida mejor fuera de N.Y.C.",Carlito's Way,1993
"Un hombre artificial, que fue construido incompletamente y tiene tijeras por las manos, lleva una vida solitaria.Entonces, un día, una dama suburbana se encuentra con él y lo presenta a su mundo.",Edward Scissorhands,1990
"Christy Brown, nacida con parálisis cerebral, aprende a pintar y escribir con su única extremidad controlable: su pie izquierdo.",My Left Foot: The Story of Christy Brown,1989
"La amante de una oftalmóloga amenaza con revelar su aventura a su esposa, mientras que un documentalista casado está enamorado de otra mujer.",Crimes and Misdemeanors,1989
"Durante la era de la prohibición en los Estados Unidos, el agente federal Eliot Ness se propone detener el despiadado gángster de Chicago Al Capone y, debido a la corrupción desenfrenada, reúne un pequeño equipo seleccionado a mano para ayudarlo.",The Untouchables,1987
"Entre dos Acción de Gracias con dos años de diferencia, el esposo de Hannah se enamora de su hermana Lee, mientras que su ex esposo hipocondríaco reaviva su relación con su hermana Holly.",Hannah and Her Sisters,1986
Un burócrata en una sociedad distópica se convierte en enemigo del estado mientras persigue a la mujer de sus sueños.,Brazil,1985
"Spinal Tap, una de las bandas más ruidosas de Inglaterra, está narrada por el director de cine Marty Dibergi sobre lo que demuestra ser una gira fatídica.",This Is Spinal Tap,1984
"En la década de 1940, un niño llamado Ralphie intenta convencer a sus padres, su maestro y Santa de que una pistola Red Ryder BB realmente es el regalo de Navidad perfecto.",A Christmas Story,1983
"Jake Blues, recién liberado de la prisión, reúne su antigua banda para salvar la casa católica donde él y su hermano Elwood fueron criados.",The Blues Brothers,1980
La vida de un escritor de televisión divorciado que sale con una adolescente es aún más complicada cuando se enamora de la amante de su mejor amigo.,Manhattan,1979
"El director/coreógrafo Bob Fosse cuenta su propia historia de vida mientras detalla la sórdida carrera de Joe Gideon, una bailarina mujeradora y que usa drogas.",All That Jazz,1979
"Después de una epidemia cada vez mayor de zombis que han surgido de los muertos, dos Filadelfia S.W.A.T.Los miembros del equipo, un reportero de tráfico y su novia ejecutiva de televisión buscan refugio en un centro comercial apartado.",Dawn of the Dead,1978
"Los reporteros ""The Washington Post"" Bob Woodward y Carl Bernstein descubren los detalles del escándalo de Watergate que conduce a la renuncia del presidente Richard Nixon.",All the President's Men,1976
"En un mundo corrupto y alimentado por la codicia, un poderoso alquimista lleva a un personaje mesiánico y siete figuras materialistas a la montaña sagrada, donde esperan lograr la iluminación.",La montaña sagrada,1973
Una serie de viñetas cómicas y nostálgicas ambientadas en una ciudad costera italiana de la década de 1930.,Amarcord,1973
Una serie surrealista y prácticamente sin trama de sueños centradas en seis personas de clase media y sus intentos constantemente interrumpidos de comer juntos.,Le charme discret de la bourgeoisie,1972
"En el siglo XVI, el despiadado y loco Don Lope de Aguirre lidera una expedición española en busca de El Dorado.","Aguirre, der Zorn Gottes",1972
"Young, rico y obsesionado con la muerte, Harold se encuentra cambiado para siempre cuando conoce a la animada septuagenaria Maude en un funeral.",Harold and Maude,1971
La fase de la Segunda Guerra Mundial de la carrera del controvertido general estadounidense George S. Patton.,Patton,1970
"Un grupo de forajidos envejecidos busca un último gran puntaje ya que el oeste americano ""tradicional"" está desapareciendo a su alrededor.",The Wild Bunch,1969
Un grupo de trapos de Pennsylvanianos se barrican en una antigua granja para permanecer a salvo de una horda de ghouls que carecen de carne que están devastando la costa este de los Estados Unidos.,Night of the Living Dead,1968
"1183 A.D.: Los tres hijos del rey Enrique II quieren heredar el trono, pero no se comprometerá con una elección.Ellos y su esposa planean para forzarlo.",The Lion in Winter,1968
Se le pide a un detective de la policía negra que investigue un asesinato en una ciudad del sur racialmente hostil.,In the Heat of the Night,1967
El romance y el suspenso se producen en París como mujer es perseguido por varios hombres que quieren una fortuna que su esposo asesinado había robado.¿En quién puede confiar?,Charade,1963
Un ex prisionero de guerra es lavado de cerebro como un asesino involuntario para una conspiración comunista internacional.,The Manchurian Candidate,1962
El esclavo Spartacus lidera una revuelta violenta contra la decadente República Romana.,Spartacus,1960
"Una mujer desaparece durante un viaje de navegación mediterránea.Durante la búsqueda, su amante y su mejor amiga se sintieron atraídos el uno por el otro.",L'avventura,1960
Una actriz francesa que filma una película contra la guerra en Hiroshima tiene una aventura con un arquitecto japonés casado mientras comparten sus diferentes perspectivas sobre la guerra.,Hiroshima mon amour,1959
"Moisés, un príncipe egipcio, se entera de su verdadera herencia como un hebreo y su misión divina como el administrador de su pueblo.",The Ten Commandments,1956
Un veterano de la Guerra Civil estadounidense se embarca en un viaje para rescatar a su sobrina de los Comanches.,The Searchers,1956
Dos hermanos luchan por mantener el estricto favor de su padre en la Biblia.,East of Eden,1955
"Un mariscal de la ciudad, a pesar de los desacuerdos de su novia recién casada y la gente del pueblo que lo rodea, debe enfrentar a una pandilla de asesinos mortales solo al mediodía cuando el líder de la pandilla, un forajido que envió hace años, llega al tren del mediodía.",High Noon,1952
Un psicópata obliga a una estrella de tenis a cumplir con su teoría de que dos extraños pueden escapar con el asesinato.,Strangers on a Train,1951
"Debido a su insistencia de que tiene un conejo invisible de seis pies de alto para un mejor amigo, su familia piensa que un hombre caprichoso de mediana edad está loco, pero puede ser más sabio de lo que nadie sabe.",Harvey,1950
"Cuando un anciano agradable que dice ser Santa Claus es institucionalizado como una locura, un joven abogado decide defenderlo argumentando en la corte que él es real.",Miracle on 34th Street,1947
Se le pide a una mujer que espíe a un grupo de amigos nazis en América del Sur.¿Hasta qué punto tendrá que ir para que se congrade con ellos?,Notorious,1946
"El detective privado Philip Marlowe es contratado por una familia rica.Antes de que termine el caso complejo, ha visto asesinato, chantaje y lo que podría ser amor.",The Big Sleep,1946
La vida desesperada de un alcohólico crónico se sigue a través de una pelea de cuatro días.,The Lost Weekend,1945
"Cuando aparecen el ex marido de una mujer rica y un reportero de tipo sensacionalista justo antes de su nuevo matrimonio planeado, ella comienza a aprender la verdad sobre sí misma.",The Philadelphia Story,1940
Un editor de periódicos usa todos los trucos del libro para evitar que su ex esposa reportera de Ace se vuelva a casar.,His Girl Friday,1940
"Cuando el príncipe John y los señores normandos comienzan a oprimir a las masas sajones en ausencia del rey Richard, un señor sajón se defiende como el líder de un ejército de guerrilla rebelde.",The Adventures of Robin Hood,1938
Un astuto gerente comercial y dos amigos locos de dos cantantes de ópera los ayudan a lograr el éxito mientras humillan a sus enemigos y snobbish.,A Night at the Opera,1935
Un equipo de filmación va a una isla tropical para una sesión de ubicación exótica y descubre un mono colosal que brilla a su estrella rubia femenina.Luego es capturado y llevado de regreso a la ciudad de Nueva York para la exposición pública.,King Kong,1933
"El hermoso artista de trapecio de un circo acepta casarse con el líder de los artistas de espectáculos laterales, pero sus amigos deformados descubren que solo se casa con él por su herencia.",Freaks,1932
El conde de vampiro Orlok expresa interés en una nueva residencia y la esposa del agente inmobiliario Hutter.,Nosferatu,1922
"Un expatriado estadounidense intenta vender su altamente rentable imperio de marihuana en Londres, desencadenando tramas, esquemas, sobornos y chantaje en un intento por robar su dominio de debajo de él.",The Gentlemen,2019
Una mujer de Cachemira acepta casarse con un oficial del ejército paquistaní para espiar a Pakistán durante la Guerra de Indo-Pakistán de 1971.,Raazi,2018
La vida de un baterista de metal pesado se arroja a fallecida cuando comienza a perder su audición.,Sound of Metal,2019
"Mientras participan en una producción de ""Muerte de un vendedor"", la esposa de una maestra es agredida en su nuevo hogar, lo que lo deja decidido a encontrar al autor sobre las objeciones traumatizadas de su esposa.",Forushande,2016
"Los soldados aliados de Bélgica, el Imperio Británico y Francia están rodeados por el ejército alemán y evacuados durante una feroz batalla en la Segunda Guerra Mundial.",Dunkirk,2017
"Siete amigos desde hace mucho tiempo se reúnen para una cena.Cuando deciden compartir entre sí el contenido de cada mensaje de texto, correo electrónico y llamadas telefónicas que reciben, muchos secretos comienzan a presentarse y el equilibrio temblora.",Perfetti sconosciuti,2016
La historia de un equipo de mujeres matemáticas afroamericanas que desempeñaron un papel vital en la NASA durante los primeros años del Programa Espacial de EE. UU.,Hidden Figures,2016
"Paddington (Ben Whishaw), ahora felizmente establecido con la familia Brown y un miembro popular de la comunidad local, recoge una serie de trabajos extraños para comprar el regalo perfecto para el cumpleaños número 100 de su tía Lucy (Imelda Staunton), solo para el regaloSer robado.",Paddington 2,2017
"Una historia que gira en torno al abuso de drogas en el rico estado del norte de la India de Punjab y cómo los jóvenes allí han sucumbido a él, lo que resulta en una disminución socioeconómica.",Udta Punjab,2016
Un niño llamado Kubo debe ubicar un traje mágico de armadura usado por su difunto padre para derrotar un espíritu vengativo del pasado.,Kubo and the Two Strings,2016
"La historia incalculable del viaje de Mahendra Singh Dhoni desde el coleccionista de boletos hasta el coleccionista de trofeos, el capitán ganador del mundo del equipo de cricket indio.",M.S. Dhoni: The Untold Story,2016
Se le pide a un tío deprimido que cuide a su sobrino adolescente después de que el padre del niño muera.,Manchester by the Sea,2016
"En Dinamarca posterior a la Segunda Guerra Mundial, un grupo de jóvenes prisioneros de guerra alemanes se ve obligado a despejar una playa de miles de minas terrestres bajo la vigilancia de un sargento danés que lentamente aprende a apreciar su difícil situación.",Under sandet,2015
La hija de un científico imperial se une a la alianza rebelde en un movimiento arriesgado para robar los planes para la Estrella de la Muerte.,Rogue One,2016
La participación política en los asuntos de los Vengadores causa una grieta entre el Capitán América y el Iron Man.,Captain America: Civil War,2016
"En pleno invierno de Wyoming, un cazarrecompensas y su prisionero encuentran refugio en una cabaña actualmente habitada por una colección de personajes nefastos.",The Hateful Eight,2015
"Jo March reflexiona de un lado a otro en su vida, contando la querida historia de las hermanas de March, cuatro mujeres jóvenes, cada una decidida a vivir la vida en sus propios términos.",Little Women,2019
"En una historia representada en la animación pintada del aceite, un joven llega a la última ciudad natal del pintor Vincent Van Gogh (Robert Gulaczyk) para entregar la última carta del artista problemático y termina investigando sus últimos días allí.",Loving Vincent,2017
Los activistas gay del Reino Unido trabajan para ayudar a los mineros durante su larga huelga de la Unión Nacional de Trabajadores de los Mineros en el verano de 1984.,Pride,2014
"Un hombre iraní abandona a su esposa francesa y sus dos hijos para regresar a su tierra natal.Mientras tanto, su esposa comienza una nueva relación, una realidad que su esposo confronta a la solicitud de su esposa de divorcio.",Le passé,2013
"Jep Gambardella ha seducido a través de la lujosa vida nocturna de Roma durante décadas, pero después de su 65 cumpleaños y un shock del pasado, Jep mira más allá de los clubes nocturnos y las fiestas para encontrar un paisaje atemporal de belleza absurda y exquisita.",La grande bellezza,2013
Una entrega errónea en el famoso sistema de entrega de loncheras de Mumbai conecta a una joven ama de casa con un hombre mayor en el anochecer de su vida mientras construyen un mundo de fantasía juntos a través de notas en la lonchera.,The Lunchbox,2013
"Un hombre es traído por un médico de infertilidad para suministrarle su esperma, donde se convierte en el mayor donante de esperma para su clínica.",Vicky Donor,2012
"Se desarrolla un vínculo especial entre el robot inflable de tamaño grande Baymax y el prodigio Hiro Hamada, quienes juntos se unen con un grupo de amigos para formar una banda de héroes de alta tecnología.",Big Hero 6,2014
"A los 21 años, Tim descubre que puede viajar en el tiempo y cambiar lo que sucede y ha sucedido en su propia vida.Su decisión de hacer de su mundo un lugar mejor al conseguir una novia resulta no ser tan fácil como podría pensar.",About Time,2013
Una ama de casa tranquila y tranquila soporta pequeños desaires de su marido e hija bien educados todos los días debido a su incapacidad para hablar y comprender el inglés.,English Vinglish,2012
"Una mirada a la vida de Jiro Horikoshi, el hombre que diseñó aviones de combate japoneses durante la Segunda Guerra Mundial.",Kaze tachinu,2013
"Cuando un nuevo juguete llamado ""Forky"" se une a Woody y la pandilla, un viaje por carretera junto a viejos y nuevos amigos revela cuán grande puede ser el mundo para un juguete.",Toy Story 4,2019
Un experto en arte solitario que trabaja para una heredera misteriosa y solitaria encuentra no solo su arte que vale la pena examinar.,La migliore offerta,2013
"Un par de jóvenes amantes huyen de su pueblo de Nueva Inglaterra, lo que hace que una fiesta de búsqueda local se desanime para encontrarlos.",Moonrise Kingdom,2012
"Cuando Hipo y Toothless descubren una cueva de hielo que alberga cientos de nuevos dragones salvajes y el misterioso piloto de dragones, los dos amigos se encuentran en el centro de una batalla para proteger la paz.",How to Train Your Dragon 2,2014
"En 2006-2007, un grupo de inversores aposta contra el mercado hipotecario de los Estados Unidos.En su investigación descubren cuán defectuoso y corrupto es el mercado.",The Big Short,2015
Un thriller psicológico de una madre afligida se convirtió en un vengador de sangre fría con un plan maestro sinuoso para pagar a los responsables de la muerte de su hija.,Kokuhaku,2010
Un agente secreto exige vengarse de un asesino en serie a través de una serie de capturas y lanzamientos.,Ang-ma-reul bo-at-da,2010
"El periodista Mikael Blomkvist es ayudado en su búsqueda de una mujer que ha estado desaparecida durante cuarenta años por Lisbeth Salander, una joven hacker informática.",The Girl with the Dragon Tattoo,2011
"La verdadera historia del Capitán Richard Phillips y el secuestro de 2009 por los piratas somalíes del MV Maersk Alabama, con bandera estadounidense, la primera nave de carga estadounidense que se secuestra en doscientos años.",Captain Phillips,2013
Un tranquilo arquero de empeño con un pasado violento toma un ring de tráfico de drogas y órganos con la esperanza de salvar al niño que es su único amigo.,Ajeossi,2010
"El grupo de rap NWA emerge de las calles Mean de Compton en Los Ángeles, California, a mediados de la década de 1980 y revoluciona la cultura del hip hop con su música y cuentos sobre la vida en el capó.",Straight Outta Compton,2015
Una madre busca desesperadamente al asesino que enmarcó a su hijo por el horrible asesinato de una niña.,Madeo,2009
Un ex consumo deshonrado que dirige un pequeño anillo de prostitutas se encuentra en una carrera contra el tiempo cuando una de sus mujeres desaparece.,Chugyeokja,2008
"Los enanos, junto con Bilbo Baggins y Gandalf the Gray, continúan su búsqueda para reclamar a Erebor, su patria, de Smaug.Bilbo Baggins está en posesión de un anillo misterioso y mágico.",The Hobbit: The Desolation of Smaug,2013
"Los eventos extraños ocurren en un pequeño pueblo en el norte de Alemania durante los años anteriores a la Primera Guerra Mundial, que parecen ser un castigo ritual.¿Quién es responsable?",Das weiße Band - Eine deutsche Kindergeschichte,2009
Una periodista es ayudada por una joven hacker en su búsqueda del asesino de una mujer que ha estado muerta durante cuarenta años.,Män som hatar kvinnor,2009
"La historia de 7 personas en juicio derivadas de varios cargos que rodean el levantamiento de la Convención Nacional Democrática de 1968 en Chicago, Illinois.",The Trial of the Chicago 7,2020
"Cuatro amigos, todos los maestros de secundaria, prueban una teoría de que mejorarán sus vidas manteniendo un nivel constante de alcohol en su sangre.",Druk,2020
"Basado en la historia de Micky Ward, un boxeador incipiente que intenta escapar de la sombra de su hermano de boxeo más famoso pero problemático y recibe su propia oportunidad de grandeza.",The Fighter,2010
"Un agente retirado de la CIA viaja por Europa y confía en sus viejas habilidades para salvar a su hija separada, que ha sido secuestrada mientras está en un viaje a París.",Taken,2008
"A través de los ojos inocentes de Bruno, el hijo del comandante de ocho años en un campo de concentración alemán, una amistad prohibida con un niño judío al otro lado de la cerca del campamento tiene consecuencias sorprendentes e inesperadas.",The Boy in the Striped Pyjamas,2008
"Un musical moderno sobre un busker y un inmigrante y su semana llena de acontecimientos en Dublín, mientras escriben, ensayan y graban canciones que cuentan su historia de amor.",Once,2007
"Un hobbit reacio, Bilbo Baggins, se dirige a la montaña solitaria con un enorme grupo de enanos para reclamar su casa de montaña, y el oro dentro del dragón Smaug.",The Hobbit: An Unexpected Journey,2012
Un hombre turco viaja a Estambul para encontrar a la hija de la ex novia de su padre.,Auf der anderen Seite,2007
La escritora novia de trece años Briony Tallis cambia irrevocablemente el curso de varias vidas cuando acusa al amante de su hermana mayor de un crimen que no cometió.,Atonement,2007
Un misterioso especialista en Hollywood y la mecánica de la luna como conductor de una escapada y se encuentra en problemas cuando ayuda a su vecino.,Drive,2011
"Un policía marginado de la ciudad de Nueva York se encarga de derribar al narcotraficante de Harlem, Frank Lucas, cuya vida real inspiró esta película en parte biográfica.",American Gangster,2007
Un marine parapléjico enviado a la luna Pandora en una misión única se vuelve dividida entre seguir sus órdenes y proteger el mundo que siente que es su hogar.,Avatar,2009
"Un niño se encuentra en una plataforma de estación como tren está a punto de irse.¿Debería ir con su madre o quedarse con su padre?Las posibilidades infinitas surgen de esta decisión.Mientras no elija, cualquier cosa es posible.",Mr. Nobody,2009
"A medida que el reino maya enfrenta su declive, un joven se lleva a un peligroso viaje a un mundo gobernado por el miedo y la opresión.",Apocalypto,2006
"Una familia decidida a llevar a su pequeña hija a la final de un concurso de belleza, haga un viaje a campo traviesa en su autobús VW.",Little Miss Sunshine,2006
Un hábil oficial de policía de Londres es transferido a un pequeño pueblo con un oscuro secreto.,Hot Fuzz,2007
"Cuenta la historia de Benjamin Button, un hombre que comienza a envejecer con consecuencias.",The Curious Case of Benjamin Button,2008
"Veer-zaara es una saga de amor, separación, coraje y sacrificio.Una historia de amor que es una inspiración y seguirá siendo una leyenda para siempre.",Veer-Zaara,2004
Un neonazi sentenciado a servicio comunitario en una iglesia choca con el sacerdote devocional ciegamente.,Adams æbler,2005
"Las chispas vuelan cuando Elizabeth Bennet se encuentra con el Sr. Darcy, rico y orgulloso.Pero el Sr. Darcy se encuentra a regañadientes en enamorarse de una mujer debajo de su clase.¿Cada uno puede superar su propio orgullo y prejuicio?",Pride & Prejudice,2005
"La historia del neozelandés Burt Munro, quien pasó años reconstruyendo una motocicleta india de 1920, que lo ayudó a establecer el récord mundial de la velocidad de la tierra en Bonneville Salt Flats de Utah en 1967.",The World's Fastest Indian,2005
"En la víspera de Navidad, tres personas sin hogar que viven en las calles de Tokio descubren un bebé recién nacido entre la basura y se propusieron encontrar a sus padres.",Tôkyô goddofâzâzu,2003
La tripulación del barco Serenity intenta evadir a un asesino enviado para recuperar a uno de sus miembros telepáticos.,Serenity,2005
"Una crónica de la vida de la leyenda de la música country Johnny Cash, desde sus primeros días en una granja de algodón de Arkansas hasta su ascenso a la fama con Sun Records en Memphis, donde grabó junto a Elvis Presley, Jerry Lee Lewis y Carl Perkins.",Walk the Line,2005
Un adolescente expulsado de la escuela por peleas llega a un internado donde se fomenta el acoso sistema de estudiantes más jóvenes como un medio para mantener la disciplina y decide defenderse.,Ondskan,2003
"Un joven pobre pero apasionado se enamora de una joven rica, dándole una sensación de libertad, pero pronto se separan debido a sus diferencias sociales.",The Notebook,2004
La dramatización de un viaje por carretera de motocicletas Che Guevara continuó en su juventud que le mostró el llamado de su vida.,Diarios de motocicleta,2004
"Lilja, de dieciséis años, y su única amiga, el joven Volodja, viven en Rusia, fantaseando con una vida mejor.Un día, Lilja se enamora de Andrej, que va a Suecia, e invita a Lilja a venir y comenzar una nueva vida.",Lilja 4-ever,2002
"Cuando su nieto es secuestrado durante el Tour de Francia, Madame Souza y su amado perro Bruno se unen con las hermanas Belleville, un equipo de canciones y bailes de los días de Fred Astaire, para rescatarlo.",Les triplettes de Belleville,2003
"Después de un incidente de tiroteo en la frontera/DMZ de Corea del Norte/Sur deja a 2 soldados norcoreanos muertos, un equipo suizo/sueco neutral investiga, lo que realmente sucedió.",Gongdong gyeongbi guyeok JSA,2000
"Un joven, falsamente encarcelado por su celoso ""amigo"", escapa y usa un tesoro oculto para exigir su venganza.",The Count of Monte Cristo,2002
Un hombre se arrastra a través de un sueño que se encuentra con varias personas y discute los significados y propósitos del universo.,Waking Life,2001
La verdadera historia de un recién nombrado entrenador afroamericano y su equipo de secundaria en su primera temporada como una unidad racialmente integrada.,Remember the Titans,2000
Un joven guerrero chino roba una espada de un famoso espadachín y luego se escapa a un mundo de aventura romántica con un hombre misterioso en la frontera de la nación.,Wo hu cang long,2000
"El joven Esteban quiere convertirse en escritor y también descubrir la identidad de su segunda madre, una mujer trans, cuidadosamente oculta por su madre Manuela.",Todo sobre mi madre,1999
Un ejecutivo de FedEx se somete a una transformación física y emocional después del aterrizaje del accidente en una isla desierta.,Cast Away,2000
Dos hermanos católicos irlandeses se convierten en vigilantes y eliminan el inframundo criminal de Boston en nombre de Dios.,The Boondock Saints,1999
Un químico de investigación se encuentra bajo un ataque personal y profesional cuando decide aparecer en una exposición de 60 minutos en gran tabaco.,The Insider,1999
"La verdadera historia de Homer Hickam, un hijo de un minero de carbón que se inspiró en el primer lanzamiento de Sputnik para tomar cohetros contra los deseos de su padre.",October Sky,1999
"Un mal señor exilia a las criaturas de cuento de hadas al pantano de un ogro gruñón, que debe hacer una búsqueda y rescatar a una princesa para el Señor para recuperar su tierra.",Shrek,2001
Un aristócrata de diecisiete años se enamora de un artista amable pero pobre a bordo del lujoso y desafortunado R.M.S.Titánico.,Titanic,1997
"Nishi deja a la policía frente a las desgarradoras dificultades personales y profesionales.En espiral en la depresión, toma decisiones cuestionables.",Hana-bi,1997
Un hombre genéticamente inferior asume la identidad de uno superior para perseguir su sueño de viaje de toda la vida.,Gattaca,1997
"Después de que un banquero rico tiene la oportunidad de participar en un juego misterioso, su vida se pone al revés cuando se vuelve incapaz de distinguir entre el juego y la realidad.",The Game,1997
"Oilman Jan está paralizado en un accidente.Su esposa, que rezó por su regreso, se siente culpable;Aún más, cuando Jan la insta a tener relaciones sexuales con otra.",Breaking the Waves,1996
"El ambicioso pero problemático director de cine Edward D. Wood Jr. hace todo lo posible para cumplir sus sueños, a pesar de su falta de talento.",Ed Wood,1994
Un joven en una pequeña ciudad del medio oeste lucha por cuidar a su hermano menor de discapacidad mental y una madre obesa mórbida mientras intenta seguir su propia felicidad.,What's Eating Gilbert Grape,1993
"Los planes exitosos de la ley de retirarse anónimamente en Tombstone, Arizona, se ven afectados por el tipo de forajidos que era famoso por eliminar.",Tombstone,1993
"En el verano de 1962, un nuevo niño en la ciudad se lleva bajo el ala de un joven prodigio de béisbol y su equipo ruidoso, lo que resulta en muchas aventuras.",The Sandlot,1993
Un mayordomo que sacrificó el cuerpo y el alma para el servicio en los años previos a la Segunda Guerra Mundial se da cuenta demasiado tarde de cuán equivocada fue su lealtad a su señorita señor.,The Remains of the Day,1993
"Cuentos paralelos de dos hombres sexualmente obsesionados, una de las mujeres que lastiman y las molestas física y mentalmente, deambulando por la ciudad hablando con extraños y experimentando dimensiones de la vida.",Naked,1993
"El Dr. Richard Kimble, acusado injustamente de asesinar a su esposa, debe encontrar al verdadero asesino mientras es el objetivo de una cacería humana nacional dirigida por un mariscal experimentado de los Estados Unidos.",The Fugitive,1993
Un padre se preocupa cuando un gángster local se hace amigo de su hijo en el Bronx en la década de 1960.,A Bronx Tale,1993
Batman está mal implicado en una serie de asesinatos de jefes de la mafia realizados por un nuevo asesino de vigilantes.,Batman: Mask of the Phantasm,1993
Un policía duro con un agente encubierto para cerrar un siniestro mafioso y su tripulación.,Lat sau san taam,1992
Una antología de 5 taxistas diferentes en 5 ciudades estadounidenses y europeas y sus notables tarifas en la misma noche llena de acontecimientos.,Night on Earth,1991
"Dos historias paralelas sobre dos mujeres idénticas;Uno que vive en Polonia, el otro en Francia.No se conocen, pero sus vidas están profundamente conectadas.",La double vie de Véronique,1991
"Sigue la vida de tres hombres jóvenes que viven en el gueto de Crenshaw de Los Ángeles, diseccionando cuestiones de raza, relaciones, violencia y perspectivas futuras.",Boyz n the Hood,1991
"Después de que un autor famoso es rescatado de un accidente automovilístico por un fanático de sus novelas, se da cuenta de que la atención que está recibiendo es solo el comienzo de una pesadilla de cautiverio y abuso.",Misery,1990
